,dish_category_title,dish_name,dish_description,original_price,discounted_price,image_url
29,Coco,CC01. Superior Coco,"Recommended, creamy blend of rich coco and fresh cream",MYR8.50,from N/A,N/A
30,Coco,CC03. Hazelnut Coco,Rich coco with the taste of toasted hazelnut,MYR8.50,from N/A,N/A
31,Coco,CC04. Coco Latte,"Recommended, rich coco served with frothy milk",MYR9.10,from N/A,N/A
32,Coco,CC07. Malty Coco (Horlicks),"Served cold, rich coco with the maltiness of Horlicks",MYR9.10,from N/A,N/A
33,Coffee,CF01. Signature Coffee,Signature blend of 100% premium Arabica coffee,MYR10.20,from N/A,N/A
34,Coffee,CF03. Latte,"Recommended, 100% premium Arabica coffee served with frothy milk",MYR10.20,from N/A,N/A
35,Coffee,CF04. Coco Mocha,"Recommended, fusion of aromatic premium coffee and rich chocolate",MYR10.20,from N/A,N/A
36,Coffee,CF05. Hazelnut Latte,100% premium Arabica coffee with a twist of hazelnut,MYR10.20,from N/A,N/A
37,Coffee,CF06. Americano,Classic and fragrant black coffee,MYR9.55,from N/A,N/A
38,Coffee,Black Diamond Signature Coffee,Signature blend of 100% premium Arabica coffee,MYR12.19,from N/A,N/A
39,Nishio Fine Matcha,NS01. Nishio Matcha with Warm Pearls,Dish Description not available,MYR11.65,from N/A,N/A
40,Nishio Fine Matcha,NS02. Nishio Matcha Milk Tea with Red Bean,Dish Description not available,MYR10.60,from N/A,N/A
41,Nishio Fine Matcha,NS04. Nishio Matcha Latte,Dish Description not available,MYR10.60,from N/A,N/A
42,Fruit Tea,SFT01. Sparkling Mango Tea,"Half ice | Recommended, sparkling jasmine green tea with mango notes and Chia Seed / 3Q Jelly",MYR9.10,from N/A,N/A
43,Fruit Tea,SFT02. Sparkling Passion Fruit Tea,"Half ice | Recommended, sparkling passion fruit tea with Chia Seed / 3Q Jelly",MYR9.10,from N/A,N/A
44,Fruit Tea,SFT03. Sparkling Lemonade Tea,"Half ice | Recommended, sparkling jasmine green tea with zesty lemon and Chia Seed / 3Q Jelly",MYR9.10,from N/A,N/A
45,Fruit Tea,SFT04. Sparkling Lychee Tea,Half ice | Sparkling green tea with the tropical lushness of lychee,MYR9.10,from N/A,N/A
46,Fruit Tea,SFT05. Sparkling Plum Tea,Half ice | Sparkling sweet and sour plum tea with Chia Seed / 3Q Jelly,MYR9.10,from N/A,N/A
47,Fruit Tea,SFT06. Sparkling Honey Lemon with Aloe Vera,"Half ice | Recommended, fizzy mix of natural honey & fresh lemon juice with aloe vera cubes",MYR9.55,from N/A,N/A
48,Fruit Tea,SFT07. Sparkling Iced Plum Cooler,Half ice | Bubbly iced lemon juice with tangy taste of plum,MYR8.50,from N/A,N/A
49,Crafted Tea,CT03. Rose Puer Tea Latte,"Recommended, rich PuEr tea with milk and a delicate hint of rose",MYR9.10,from N/A,N/A
50,Crafted Tea,CT04. Earl Grey Tea Latte,"Recommended, soothing infusion of earl grey tea with milk",MYR9.10,from N/A,N/A
51,Crafted Tea,CT05. Rose Puer Tea,Rich PuEr tea with a delicate hint of rose,MYR8.05,from N/A,N/A
52,Crafted Tea,CT06. Earl Grey Tea,A delicate yet classic serving of earl grey tea,MYR8.05,from N/A,N/A
53,Crafted Tea,CT07. Jasmine Green Tea,Japanese green tea with floral notes of jasmine,MYR8.05,from N/A,N/A
54,Smoothie,Strawberry Pudding Smoothies,Large size,MYR10.60,from N/A,N/A
