,dish_category_title,dish_name,dish_description,original_price,discounted_price,image_url
0,Pisang Cheese,The Original Pisang Cheese,Dish Description not available,MYR8.80,N/A,https://images.deliveryhero.io/image/fd-my/Products/1155919705.jpg
1,Pisang Cheese,Devil's Chocolate Pisang Cheese,Dish Description not available,MYR10.30,N/A,https://images.deliveryhero.io/image/fd-my/Products/1155919713.jpg
2,Pisang Cheese,The Caramelicious Pisang Cheese,Dish Description not available,MYR10.30,N/A,https://images.deliveryhero.io/image/fd-my/Products/1155919717.jpg
3,Pisang Cheese,Oreo Mania Pisang Cheese,Dish Description not available,MYR10.30,N/A,https://images.deliveryhero.io/image/fd-my/Products/1155919706.jpg
4,Pisang Cheese,Snowy White Chocolate Pisang Cheese,Dish Description not available,MYR10.30,N/A,https://images.deliveryhero.io/image/fd-my/Products/1155919707.jpg
5,Pisang Cheese,Peanut Walla Pisang Cheese,Dish Description not available,MYR11.80,N/A,https://images.deliveryhero.io/image/fd-my/Products/1155919708.jpg
6,Pisang Cheese,Milo Ola Pisang Cheese,Dish Description not available,MYR11.80,N/A,https://images.deliveryhero.io/image/fd-my/Products/1155919714.jpg
7,Pisang Cheese,Nutella Awesome Pisang Cheese,Dish Description not available,MYR11.80,N/A,https://images.deliveryhero.io/image/fd-my/Products/1155919716.jpg
8,Pisang Cheese,Nestum Volla Pisang Cheese,Dish Description not available,MYR11.80,N/A,https://images.deliveryhero.io/image/fd-my/Products/1155919715.jpg
