,restaurant_name,restaurant_url,dish_category_title,dish_name,dish_description,original_price,discounted_price,image_url
38,bob-burger-tts,https://www.foodpanda.my/restaurant/r4ki/bob-burger-tts,Patty Kambing,Patty Kambing Biasa,Dish Description not available,MYR7.20,from N/A,N/A
39,bob-burger-tts,https://www.foodpanda.my/restaurant/r4ki/bob-burger-tts,Patty Kambing,Patty Kambing Special,Dish Description not available,MYR8.50,from N/A,N/A
40,bob-burger-tts,https://www.foodpanda.my/restaurant/r4ki/bob-burger-tts,Patty Kambing,Patty Kambing Double,Dish Description not available,MYR11.00,from N/A,N/A
41,bob-burger-tts,https://www.foodpanda.my/restaurant/r4ki/bob-burger-tts,Patty Kambing,Patty Kambing Double Special,Dish Description not available,MYR12.40,from N/A,N/A
42,bob-burger-tts,https://www.foodpanda.my/restaurant/r4ki/bob-burger-tts,Burung Unta / Arnab / Rusa,Burung Unta Biasa,Dish Description not available,MYR7.20,from N/A,N/A
43,bob-burger-tts,https://www.foodpanda.my/restaurant/r4ki/bob-burger-tts,Burung Unta / Arnab / Rusa,Burung Unta Special,Dish Description not available,MYR8.50,from N/A,N/A
44,bob-burger-tts,https://www.foodpanda.my/restaurant/r4ki/bob-burger-tts,Burung Unta / Arnab / Rusa,Burung Unta Double,Dish Description not available,MYR11.00,from N/A,N/A
45,bob-burger-tts,https://www.foodpanda.my/restaurant/r4ki/bob-burger-tts,Burung Unta / Arnab / Rusa,Arnab Double,Dish Description not available,MYR11.00,from N/A,N/A
46,bob-burger-tts,https://www.foodpanda.my/restaurant/r4ki/bob-burger-tts,Burung Unta / Arnab / Rusa,Burung Unta Double Special,Dish Description not available,MYR12.40,from N/A,N/A
47,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Bandung,Bandung Ayam,Dish Description not available,MYR6.00,from N/A,N/A
48,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Bandung,Bandung Daging,Dish Description not available,MYR6.00,from N/A,N/A
49,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Bandung,Bandung Seafood,Dish Description not available,MYR7.00,from N/A,N/A
50,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Kungfu,Kungfu Ayam,Dish Description not available,MYR6.00,from N/A,N/A
51,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Kungfu,Kungfu Daging,Dish Description not available,MYR6.00,from N/A,N/A
52,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Kungfu,Kungfu Seafood,Dish Description not available,MYR7.00,from N/A,N/A
53,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Ladna,Ladna Ayam,Dish Description not available,MYR6.00,from N/A,N/A
54,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Ladna,Ladna Daging,Dish Description not available,MYR6.00,from N/A,N/A
55,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Ladna,Ladna Seafood,Dish Description not available,MYR7.00,from N/A,N/A
56,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Tomyam,Tomyam Ayam,Dish Description not available,MYR7.00,from N/A,N/A
57,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Tomyam,Tomyam Campur,Dish Description not available,MYR7.00,from N/A,N/A
58,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Tomyam,Tomyam Daging,Dish Description not available,MYR7.00,from N/A,N/A
59,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Tomyam,Tomyam Seafood,Dish Description not available,MYR7.00,from N/A,N/A
60,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Hailam,Hailam Ayam,Dish Description not available,MYR6.00,from N/A,N/A
61,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Hailam,Hailam Daging,Dish Description not available,MYR6.00,from N/A,N/A
62,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Hailam,Hailam Seafood,Dish Description not available,MYR7.00,N/A,N/A
63,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Sup,Sup Ayam,Dish Description not available,MYR6.00,from N/A,N/A
64,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Sup,Sup Daging,Dish Description not available,MYR6.00,from N/A,N/A
65,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Sup,Sup Seafood,Dish Description not available,MYR7.00,from N/A,N/A
66,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Burger Ayam,Burger Ayam Biasa,Dish Description not available,MYR5.00,from N/A,N/A
67,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Burger Ayam,Burger Ayam Special,Dish Description not available,MYR6.00,from N/A,N/A
68,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Burger Ayam,Burger Ayam Double Biasa,Dish Description not available,MYR6.50,from N/A,N/A
69,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Burger Ayam,Burger Ayam Double Special,Dish Description not available,MYR7.50,from N/A,N/A
70,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Burger Ayam,Burger Ayam Triple Biasa,Dish Description not available,MYR8.00,from N/A,N/A
71,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Burger Ayam,Burger Ayam Triple Special,Dish Description not available,MYR9.00,from N/A,N/A
72,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Burger Ayam,Burger Ayam Benjo Biasa,Dish Description not available,MYR4.00,from N/A,N/A
73,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Burger Ayam,Burger Ayam Benjo Special,Dish Description not available,MYR5.00,from N/A,N/A
74,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Burger Daging,Burger Daging Biasa,Dish Description not available,MYR5.00,from N/A,N/A
75,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Burger Daging,Burger Daging Special,Dish Description not available,MYR6.00,from N/A,N/A
76,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Burger Daging,Burger Daging Double Biasa,Dish Description not available,MYR6.50,from N/A,N/A
77,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Burger Daging,Burger Daging Double Special,Dish Description not available,MYR7.50,from N/A,N/A
78,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Burger Daging,Burger Daging Triple Biasa,Dish Description not available,MYR8.00,from N/A,N/A
79,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Burger Daging,Burger Daging Triple Special,Dish Description not available,MYR9.00,from N/A,N/A
80,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Nasi Putih,Nasi Putih Ayam Kunyit,Dish Description not available,MYR7.00,from N/A,N/A
81,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Nasi Putih,Nasi Putih Daging Merah,Dish Description not available,MYR7.00,from N/A,N/A
82,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Nasi Putih,Nasi Putih Paprik,Dish Description not available,MYR7.00,from N/A,N/A
83,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Nasi Putih,Nasi Putih Sotong Kunyit,Dish Description not available,MYR7.00,from N/A,N/A
84,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Nasi Goreng,Nasi Goreng Biasa,Dish Description not available,MYR6.00,from N/A,N/A
85,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Nasi Goreng,Nasi Goreng Cili Padi,Dish Description not available,MYR6.50,from N/A,N/A
86,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Nasi Goreng,Nasi Goreng Cina,Dish Description not available,MYR6.50,from N/A,N/A
87,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Nasi Goreng,Nasi Goreng Daging Merah,Dish Description not available,MYR8.00,from N/A,N/A
88,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Nasi Goreng,Nasi Goreng Kampung,Dish Description not available,MYR6.50,from N/A,N/A
89,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Nasi Goreng,Nasi Goreng Ladna,Dish Description not available,MYR8.00,from N/A,N/A
90,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Nasi Goreng,Nasi Goreng Paprik,Dish Description not available,MYR8.00,from N/A,N/A
91,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Nasi Goreng,Nasi Goreng Pataya,Dish Description not available,MYR7.00,from N/A,N/A
92,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Nasi Goreng,Nasi Goreng Seafood,Dish Description not available,MYR8.00,from N/A,N/A
93,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Nasi Goreng,Nasi Goreng Sotong,Dish Description not available,MYR7.00,from N/A,N/A
94,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Nasi Goreng,Nasi Goreng Tomyam,Dish Description not available,MYR7.00,from N/A,N/A
95,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Nasi Goreng,Nasi Goreng Udang,Dish Description not available,MYR7.00,from N/A,N/A
96,gfive-corner,https://www.foodpanda.my/restaurant/q9kd/gfive-corner,Nasi Goreng,Nasi Goreng USA,Dish Description not available,MYR8.00,from N/A,N/A
