,Restaurant Name,Restaurant URL,dish_category_title,dish_name,dish_description,original_price,discounted_price,image_url
0,Makan-Makan,https://www.foodpanda.my/restaurant/g91l/makan-makan,Sets,Set Nasi Ayam Korea,Served with sup & sambal belacan,MYR10.40,N/A,N/A
1,Makan-Makan,https://www.foodpanda.my/restaurant/g91l/makan-makan,Sets,Set Ayam Korea,5-6 Pcs depend on size,MYR13.10,N/A,N/A
2,Makan-Makan,https://www.foodpanda.my/restaurant/g91l/makan-makan,Sets,KEROPOK LEKOR,Dish Description not available,MYR3.00,from N/A,N/A
3,Makan-Makan,https://www.foodpanda.my/restaurant/g91l/makan-makan,Sets,SET AYAM CHEESE,With cheese sauce,MYR11.90,N/A,N/A
4,Makan-Makan,https://www.foodpanda.my/restaurant/g91l/makan-makan,Side,Tauhu Bergedil Daging,6 Pcs,MYR9.50,N/A,N/A
