,dish_category_title,dish_name,dish_description,original_price,discounted_price,image_url
33,Desserts,BLUEBERRY CHEESECAKE LAVA CAKE,"A CREAMY CHEESECAKE FILLED WITH LUSCIOUS, WARM SAUCE.",MYR15.90,MYR9.54,https://images.deliveryhero.io/image/fd-my/Products/1777051.jpg
34,Desserts,CHOCOLATE LAVA CAKE,"DISCOVER A LUSCIOUSLY MELTED SOFT CHOCOLATE CENTRE, OVERFLOWING WITH CHOCOLATEY GOODNESS",MYR15.90,MYR9.54,https://images.deliveryhero.io/image/fd-my/Products/1777053.jpg
35,Drinks,BLEU MINERAL WATER,BLEU MINERAL WATER,MYR5.00,MYR3.00,https://images.deliveryhero.io/image/fd-my/Products/1777025.jpg
36,Drinks,PEPSI (BOTTLE),PEPSI,MYR9.90,MYR5.94,https://images.deliveryhero.io/image/fd-my/Products/1777026.jpg
37,Drinks,7UP (BOTTLE),7UP,MYR9.90,MYR5.94,https://images.deliveryhero.io/image/fd-my/Products/1777027.jpg
38,Drinks,MOUNTAIN DEW (BOTTLE),MOUNTAIN DEW,MYR9.90,MYR5.94,https://images.deliveryhero.io/image/fd-my/Products/1777028.jpg
39,Drinks,PEPSI BLACK (BOTTLE),PEPSI BLACK 1.5L,MYR9.90,MYR5.94,https://images.deliveryhero.io/image/fd-my/Products/1777029.jpg
40,Drinks,LIPTON ICE TEA - LEMON (BOTTLE),LIPTON ICE TEA,MYR12.50,MYR7.50,https://images.deliveryhero.io/image/fd-my/Products/1777030.jpg
41,Drinks,TWISTER ORANGE (BOTTLE),TROPICANA TWISTER ORANGE,MYR15.50,MYR9.30,https://images.deliveryhero.io/image/fd-my/Products/1777031.jpg
42,Drinks,PEPSI (CAN),PEPSI,MYR7.50,MYR4.50,https://images.deliveryhero.io/image/fd-my/Products/1777032.jpg
43,Drinks,7UP (CAN),7UP,MYR7.50,MYR4.50,https://images.deliveryhero.io/image/fd-my/Products/1777033.jpg
44,Drinks,MOUNTAIN DEW (CAN),MOUNTAIN DEW,MYR7.50,MYR4.50,https://images.deliveryhero.io/image/fd-my/Products/1777034.jpg
45,Drinks,LIPTON ICE TEA - LEMON (CAN),LIPTON ICE TEA,MYR8.50,MYR5.10,https://images.deliveryhero.io/image/fd-my/Products/1777035.jpg
